"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LANDFILL","Landfill","2003","2003","TONNE","Tonnes","3","Thousands",,,6202,,
"AUS","Australia","LANDFILL","Landfill","2007","2007","TONNE","Tonnes","3","Thousands",,,7903,,
"AUS","Australia","LANDFILL","Landfill","2008","2008","TONNE","Tonnes","3","Thousands",,,7875,,
"AUS","Australia","LANDFILL","Landfill","2009","2009","TONNE","Tonnes","3","Thousands",,,7847,,
"AUS","Australia","LANDFILL","Landfill","2010","2010","TONNE","Tonnes","3","Thousands",,,7892,,
"AUS","Australia","LANDFILL","Landfill","2011","2011","TONNE","Tonnes","3","Thousands",,,7529,,
"AUS","Australia","LANDFILL","Landfill","2012","2012","TONNE","Tonnes","3","Thousands",,,7487.667,,
"AUS","Australia","LANDFILL","Landfill","2013","2013","TONNE","Tonnes","3","Thousands",,,7446.333,,
"AUS","Australia","LANDFILL","Landfill","2014","2014","TONNE","Tonnes","3","Thousands",,,7405,,
"AUS","Australia","LANDFILL","Landfill","2015","2015","TONNE","Tonnes","3","Thousands",,,7484,,
"AUS","Australia","LANDFILL","Landfill","2016","2016","TONNE","Tonnes","3","Thousands",,,7160,,
"AUS","Australia","LANDFILL","Landfill","2017","2017","TONNE","Tonnes","3","Thousands",,,7394,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","1995","1995","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","1996","1996","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","1997","1997","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","1998","1998","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","1999","1999","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2000","2000","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2001","2001","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2002","2002","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2003","2003","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2004","2004","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2005","2005","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2006","2006","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2007","2007","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2008","2008","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2009","2009","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2010","2010","TONNE","Tonnes","3","Thousands",,,0,,
"AUT","Austria","INCINERATION_WITHOUT","Incineration without energy recovery","2011","2011","TONNE","Tonnes","3","Thousands",,,0,,
