,Year,Economy Label,Partner Label,Metric tons in thousands
95482,2018,Japan,Malaysia,220.65
98224,2018,United States of America,Malaysia,207.089
96033,2018,Mexico,United States of America,194.974
95502,2018,Japan,Thailand,189.179
95462,2018,Japan,"China, Taiwan Province of",179.051
97096,2018,Viet Nam,China,167.651
98149,2018,United States of America,Canada,143.347
98200,2018,United States of America,India,134.522
94569,2018,Germany,Malaysia,131.553
94579,2018,Germany,Netherlands,124.7
95495,2018,Japan,Viet Nam,123.606
93580,2018,Canada,United States of America,118.871
94405,2018,France,Italy,115.54
94875,2018,"China, Hong Kong SAR",Thailand,115.001
93229,2018,Belgium,Netherlands,112.941
95479,2018,Japan,"Korea, Republic of",108.262
98281,2018,United States of America,Thailand,106.929
98196,2018,United States of America,"China, Hong Kong SAR",105.471
98439,2018,United Kingdom,Malaysia,102.088
94452,2018,France,Spain,80.681
