,Country,Year,Metric tons in thousands_x,Metric tons in thousands_y
0,"ACP (African, Caribbean and Pacific Group of States)",1995,125.54900000000005,5.685999999999996
1,ACP: Africa,1995,125.43200000000009,5.3759999999999994
2,ACP: Caribbean,1995,0.12000000000000004,0.3100000000000001
3,ACP: Central Africa,1995,1.2959999999999994,2.6039999999999996
4,ACP: Eastern Africa,1995,92.912,1.0670000000000006
5,ACP: Islands States,1995,2.978999999999997,0.5900000000000003
6,ACP: LDCs,1995,41.44399999999998,0.4640000000000003
7,ACP: LLDCs,1995,97.95200000000004,0.7640000000000006
8,ACP: Western Africa,1995,29.80199999999999,1.7039999999999988
9,ACS (Association of Caribbean States),1995,903.0739999999992,7479.998999999999
10,"ADB (African Development Bank), developing member countries",1995,15799.378000000006,1247.462999999999
11,ADB: Group B,1995,1096.2020000000005,63.17600000000003
12,ADB: Group C,1995,14703.176999999989,1184.2829999999992
13,ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),1995,12.189999999999996,169.041
14,AMU (Arab Maghreb Union),1995,154.27100000000002,13.514000000000012
15,APEC (Asia-Pacific Economic Cooperation),1995,61838.63500000001,72688.62699999993
16,APTA (Asia-Pacific Trade Agreement),1995,15787.674000000005,890.3399999999998
17,ASEAN (Association of Southeast Asian Nations),1995,524.736,1522.5600000000002
18,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",1995,15321.405000000006,6042.248000000002
19,Africa,1995,347.15199999999953,58.88700000000001
20,Africa excluding South Africa,1995,347.15199999999953,58.88700000000001
21,African Union,1995,347.15199999999953,58.88700000000001
22,America,1995,10223.52799999999,21269.788999999997
23,Andorra,1995,0.13500000000000004,0.0
24,Argentina,1995,11.593000000000004,170.9
25,Asia,1995,53608.6,51674.20199999997
26,Asia and Oceania,1995,53671.20500000001,52274.60399999999
27,Australia,1995,57.151000000000025,508.37000000000023
28,Austria,1995,237.30900000000003,305.593
29,BASIC,1995,15550.073999999995,449.9639999999997
30,BRICS,1995,15550.073999999995,449.9639999999997
31,Bangladesh,1995,2.7269999999999976,5.706999999999998
32,BioTrade countries,1995,34443.142,30546.38200000003
33,Brazil,1995,116.71000000000011,36.37100000000001
34,CACM (Central American Common Market),1995,144.553,70.088
35,CAN (Andean Community),1995,206.417,28.693000000000005
36,CARICOM (Caribbean Community),1995,0.12000000000000004,0.3100000000000001
37,CBD (Convention on Biological Diversity),1995,41061.044000000016,41934.39100000002
38,CEMAC (Economic and Monetary Community of Central Africa),1995,1.2959999999999994,2.6039999999999996
39,CEN-SAD (Community of Sahel-Saharan States),1995,239.59099999999998,55.209999999999965
40,CIS (Commonwealth of Independent States),1995,3.313999999999999,0.42400000000000027
41,CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora),1995,41060.91700000001,41934.39100000002
42,COMESA (Common Market for Eastern and Southern Africa),1995,161.192,54.54000000000001
43,Cameroon,1995,1.2959999999999994,2.6039999999999996
44,Canada,1995,2534.293000000001,2155.4659999999994
45,Caribbean,1995,0.12000000000000004,0.3100000000000001
46,Central America,1995,799.3889999999999,7308.124999999997
47,Central and Southern Asia,1995,1096.2020000000005,63.17600000000003
48,Chile,1995,71.91199999999999,24.81499999999999
49,China,1995,14339.88400000001,356.12199999999956
50,"China, Hong Kong SAR",1995,36691.111999999994,45268.25799999994
51,"China, Macao SAR",1995,0.6470000000000004,25.603999999999992
52,Colombia,1995,98.78799999999997,26.360000000000003
53,Costa Rica,1995,25.078999999999994,18.483000000000008
54,Croatia,1995,20.341000000000005,21.885999999999996
55,Cyprus,1995,0.5420000000000001,4.082
56,Czechia,1995,325.3619999999999,339.096
57,Côte d'Ivoire,1995,18.236999999999995,1.7039999999999988
